date,days,count,summary
2022-06-10,0,2,"取得資源群組 (ResourceGroup),取得系統監控指標"
2022-06-14,4,1,"取得網路監控指標"
2022-06-15,5,1,"取得磁碟 I/O 監控指標"
2022-06-23,13,1,"取得磁碟使用率監控指標"
2022-06-24,14,1,"取得 CPU 使用率監控指標"
2022-06-27,17,1,"取得記憶體使用率監控指標"
2022-10-03,115,5,"建立圖表,依 ID 刪除圖表,取得所有圖表,取得圖表預覽 即時預覽 chart (return metric data),更新圖表"
2022-10-04,116,1,"取得自訂圖表 取得 custom chart preview"
2022-10-05,117,6,"依 ID 取得圖表,建立儀表板,依 ID 刪除儀表板,取得所有儀表板,依 ID 取得儀表板,更新儀表板"
2022-10-17,129,1,"取得所有 Dashboard 清單"
2022-10-19,131,2,"取得自訂儀表板 取得Dashboard所有charts(包含metric data),取得所有 Chart 清單"
2022-10-26,138,1,"取得程序(Process) 監控指標"
2022-11-15,158,5,"取得所有主機名稱清單,取得指定主機的欄位清單,取得主機資訊,取得主機的 Measurement 清單,取得主機磁碟分割區資訊"
2022-11-18,161,1,"取得 group 擁有的 resources 清單"
2023-01-04,208,1,"硬碟滿載預警"
2023-03-17,280,1,"取得主機裝置名稱"
2023-04-28,322,1,"取得授權資訊"
2023-05-03,327,1,"取得 SSO URL"
2023-05-22,346,2,"Web 上傳檔案,取得 Grafana URL"
2023-06-08,363,1,"取得所有組織"
2023-06-26,381,5,"建立主機群組,刪除主機群組,取得所有主機群組,更新主機群組,取得所有 SSO 群組"
2023-07-16,401,1,"取得 Oracle AWR Html 檔案內容 (grafana)"
2023-10-02,479,2,"取得 KPI 選項清單,取得伺服器模組"
2023-10-05,482,1,"取得最新資料時間"
2023-10-15,492,1,"取得伺服器選單 登入後根據 RealmGroup 取得選單"
2023-11-28,536,4,"建立 Alert 靜音,建立告警規則,日誌,執行歷史任務"
2023-12-11,549,3,"依 ID 刪除 Alert 靜音,取得所有 Alert 靜音,更新 Alert 靜音"
2023-12-19,557,4,"取得所有告警規則,取得 Alert 下拉選單,取得告警單位下拉選單,取得資源分割區資訊"
2023-12-25,563,1,"取得 metric rule 下拉選單 by category"
2023-12-28,566,2,"依 ID 刪除告警規則,更新告警規則"
2023-12-29,567,1,"取得 MetricRule 所需參數名"
2024-01-02,571,4,"建立 Alert 聯絡人,刪除 Alert Contact,取得所有 Alert 聯絡人,更新 Alert 聯絡人"
2024-01-04,573,1,"測試 Alert 聯絡人"
2024-01-08,577,1,"依 ID 取得告警規則"
2024-01-17,586,2,"取得 group 擁有的 resources 清單 By Group ID,取得指定群組的資源分割資訊"
2024-01-24,593,2,"取得所有 Alert 標籤,取得 alert label 下拉選單 by key"
2024-01-25,594,2,"建立 Alert 標籤,更新 Alert 標籤"
2024-01-29,598,3,"依 Key 刪除 Alert 標籤,取得目前所有主機標籤 CSV,上傳主機標籤 CSV"
2024-01-30,599,3,"建立主機標籤,刪除主機標籤,更新主機標籤"
2024-04-18,678,1,"取得告警規則運算符號下拉選單"
2024-06-06,727,3,"測試告警規則,依 ID 複製告警規則,Telegraf"
2024-06-26,747,10,"取得 Menu Dashboard 下拉選單,取得 Menu Type 下拉選單,建立主選單,依 ID 刪除主選單,取得所有主選單,更新主選單,取得所有子選單,建立子選單,依 ID 刪除子選單,更新子選單"
2024-07-12,763,3,"當前告警,歷史告警,伺服器列表 + 伺服器台數(總台數/失聯台數/健康狀況)"
2024-07-26,777,1,"取得歷史告警指標"
2024-08-12,794,1,"設定 Keycloak Client (iPOC)"
2024-08-21,803,1,"取得告警設定"
2024-08-25,807,1,"依 ID 取得 Metric Rule"
2024-09-15,828,6,"取得主機所有資料庫清單 (Database),取得主機清單 (Hostname),取得 SQL 指令檔案內容,取得資料庫性能指標清單 (SQL_Metrics),取得 SQL 統計資訊,取得 SQL 原始語句內容"
