date,summary,api
"2022-06-10","取得資源群組 (ResourceGroup)","/get-server-group"
"2022-06-10","取得系統監控指標","/get-system-metric"
"2022-06-14","取得網路監控指標","/get-net-metric"
"2022-06-15","取得磁碟 I/O 監控指標","/get-diskio-metric"
"2022-06-23","取得磁碟使用率監控指標","/get-disk-metric"
"2022-06-24","取得 CPU 使用率監控指標","/get-cpu-metric"
"2022-06-27","取得記憶體使用率監控指標","/get-mem-metric"
"2022-10-03","建立圖表","/chart/create"
"2022-10-03","依 ID 刪除圖表","/chart/delete/{id}"
"2022-10-03","取得所有圖表","/chart/get-all"
"2022-10-03","取得圖表預覽 即時預覽 chart (return metric data)","/chart/get-chart-preview"
"2022-10-03","更新圖表","/chart/update"
"2022-10-04","取得自訂圖表 取得 custom chart preview","/chart/get-custom-chart"
"2022-10-05","依 ID 取得圖表","/chart/get-chart/{id}"
"2022-10-05","建立儀表板","/dashboard/create"
"2022-10-05","依 ID 刪除儀表板","/dashboard/delete/{id}"
"2022-10-05","取得所有儀表板","/dashboard/get-all"
"2022-10-05","依 ID 取得儀表板","/dashboard/get-dashboard/{id}"
"2022-10-05","更新儀表板","/dashboard/update"
"2022-10-17","取得所有 Dashboard 清單","/get-dashboards"
"2022-10-19","取得自訂儀表板 取得Dashboard所有charts(包含metric data)","/dashboard/get-custom-dashboard"
"2022-10-19","取得所有 Chart 清單","/get-charts"
"2022-10-26","取得程序(Process) 監控指標","/get-process-metric"
"2022-11-15","取得所有主機名稱清單","/get-all-hostname"
"2022-11-15","取得指定主機的欄位清單","/get-fields/{hostname}"
"2022-11-15","取得主機資訊","/get-hostname/{id}"
"2022-11-15","取得主機的 Measurement 清單","/get-measurement/{hostname}"
"2022-11-15","取得主機磁碟分割區資訊","/get-partition/{hostname}"
"2022-11-18","取得 group 擁有的 resources 清單","/get-group-host/{name}"
"2023-01-04","硬碟滿載預警","/get-disk-predict"
"2023-03-17","取得主機裝置名稱","/get-device-name/{hostname}"
"2023-04-28","取得授權資訊","/get-license-information"
"2023-05-03","取得 SSO URL","/get-sso-url"
"2023-05-22","Web 上傳檔案","/user/file-upload"
"2023-05-22","取得 Grafana URL","/user/get-grafana-url"
"2023-06-08","取得所有組織","/get-all-org"
"2023-06-26","建立主機群組","/host-group/create"
"2023-06-26","刪除主機群組","/host-group/delete/{id}"
"2023-06-26","取得所有主機群組","/host-group/get-all"
"2023-06-26","更新主機群組","/host-group/update"
"2023-06-26","取得所有 SSO 群組","/sso-group/get-all"
"2023-07-16","取得 Oracle AWR Html 檔案內容 (grafana)","/get-awrrpt"
"2023-10-02","取得 KPI 選項清單","/get-kpi-option"
"2023-10-02","取得伺服器模組","/get-server-module"
"2023-10-05","取得最新資料時間","/get-data-lastdate"
"2023-10-15","取得伺服器選單 登入後根據 RealmGroup 取得選單","/user/get-server-menu"
"2023-11-28","建立 Alert 靜音","/alert-mute/create"
"2023-11-28","建立告警規則","/alert-rule/create"
"2023-11-28","日誌","/logger"
"2023-11-28","執行歷史任務","/run-history-task"
"2023-12-11","依 ID 刪除 Alert 靜音","/alert-mute/delete/{id}"
"2023-12-11","取得所有 Alert 靜音","/alert-mute/get-all"
"2023-12-11","更新 Alert 靜音","/alert-mute/update"
"2023-12-19","取得所有告警規則","/alert-rule/get-all"
"2023-12-19","取得 Alert 下拉選單","/get-alert-option"
"2023-12-19","取得告警單位下拉選單","/get-alert-unit/{id}"
"2023-12-19","取得資源分割區資訊","/get-resource-partition"
"2023-12-25","取得 metric rule 下拉選單 by category","/get-metric-rule/{category}"
"2023-12-28","依 ID 刪除告警規則","/alert-rule/delete/{id}"
"2023-12-28","更新告警規則","/alert-rule/update"
"2023-12-29","取得 MetricRule 所需參數名","/get-metric-rule-keys/{id}"
"2024-01-02","建立 Alert 聯絡人","/alert-contact/create"
"2024-01-02","刪除 Alert Contact","/alert-contact/delete/{id}"
"2024-01-02","取得所有 Alert 聯絡人","/alert-contact/get-all"
"2024-01-02","更新 Alert 聯絡人","/alert-contact/update"
"2024-01-04","測試 Alert 聯絡人","/alert-contact/test"
"2024-01-08","依 ID 取得告警規則","/alert-rule/{id}"
"2024-01-17","取得 group 擁有的 resources 清單 By Group ID","/get-group-resource/{id}"
"2024-01-17","取得指定群組的資源分割資訊","/get-resource-partition/:name"
"2024-01-24","取得所有 Alert 標籤","/alert-label/get-all"
